#device,DeviceManagerCenter_UpdateDevice,post,/v1/UpdateDevice
#device,DeviceManagerCenter_UpdateDeviceKind,post,/v1/UpdateDeviceKind

face,FaceService_AddPerson,post,/v1/face/add_person
face,FaceService_AddPersonFace,post,/v1/face/add_person_face
face,FaceService_CompareImage,post,/v1/face/compare_image
face,FaceService_CreatePersonDB,post,/v1/face/create_person_db
face,FaceService_CreateTag,post,/v1/face/create_tag
face,FaceService_DeletePerson,post,/v1/face/delete_person
face,FaceService_DeletePersonDB,post,/v1/face/delete_person_db
face,FaceService_DeletePersonFace,post,/v1/face/delete_person_face
face,FaceService_DeleteTag,post,/v1/face/delete_tag
face,FaceService_DetectLiveness,post,/v1/face/detect_liveness
face,FaceService_GetPerson,get,/v1/face/get_person
face,FaceService_ListPerson,get,/v1/face/list_person
face,FaceService_ListPersonDB,get,/v1/face/list_person_db
face,FaceService_ListTag,get,/v1/face/list_tag
face,FaceService_SearchPerson,post,/v1/face/search_person
face,FaceService_UpdatePerson,post,/v1/face/update_person
face,FaceService_UpdatePersonDB,post,/v1/face/update_person_db

#identity,IdentityService_CheckHealth,get,/health
identity,IdentityService_H5GetSessionConfig,post,/v1/h5/identity/get_session_config
identity,IdentityService_H5UpdateIDCard,post,/v1/h5/identity/update_idcard
identity,IdentityService_CompareFaceIDCard,post,/v1/identity/compare_face_idcard
identity,IdentityService_CreateSession,post,/v1/identity/create_session
identity,IdentityService_GetSessionLivenessResult,post,/v1/identity/get_session_liveness_result
identity,IdentityService_GetSessionVerificationResult,post,/v1/identity/get_session_verification_result
identity,IdentityService_VerifyIDCard,post,/v1/identity/verify_idcard
identity,IdentityService_VerifyIDCardFace,post,/v1/identity/verify_idcard_face

#内部接口
#ipsApplet,BatchProcess,post,/v1/batch_process
#ipsApplet,GetSystemInfo,get,/v1/get_system_info

#内部接口
#ipsOcr,BatchCustomTemplate,post,/v1/batch_custom_template_extract
#ipsOcr,BatchPlainText,post,/v1/batch_plaintext_extract
#ipsOcr,BatchSpecialTemplate,post,/v1/batch_special_template_extract
#ipsOcr,BatchTemplate,post,/v1/batch_template_extract
#ipsOcr,GetSystemInfo,get,/v1/get_system_info

notification,ConsoleNotificationService_GetAllMsg,get,/console/v1/all_notification
notification,ConsoleNotificationService_DeleteAllMsg,post,/console/v1/delete_all_notification
notification,ConsoleNotificationService_DeleteBatchMsg,post,/console/v1/delete_batch_notification
notification,ConsoleNotificationService_GetOneMsg,get,/console/v1/notification
notification,ConsoleNotificationService_GetAllMsgType,get,/console/v1/notification/all_msg_type
notification,ConsoleNotificationService_GetUnReadCount,get,/console/v1/notification_unread_count
notification,ConsoleNotificationService_ReadAllMsg,post,/console/v1/read_all_notification
notification,ConsoleNotificationService_ReadBatchMsg,post,/console/v1/read_batch_notification

notificationInternal,ConsoleNotificationInternalService_SendNotification,post,/console-internal/v1/notification
notificationInternal,ConsoleNotificationInternalService_GetAllMsgType,get,/console-internal/v1/notification/all_msg_type
notificationInternal,ConsoleNotificationInternalService_GetAllTemplate,get,/console-internal/v1/notification/all_template
notificationInternal,ConsoleNotificationInternalService_DeleteMsgType,post,/console-internal/v1/notification/delete_msg_type
notificationInternal,ConsoleNotificationInternalService_DeleteTemplate,post,/console-internal/v1/notification/delete_template
notificationInternal,ConsoleNotificationInternalService_GetMsgType,get,/console-internal/v1/notification/msg_type
